Publication Date,Title,Link,json_url,fulltext_url
12/9/2019,"Sam Noble Oklahoma Museum of Natural History, Norman, OK",https://www.federalregister.gov/documents/2019/12/09/2019-26434/notice-of-inventory-completion-sam-noble-oklahoma-museum-of-natural-history-norman-ok,https://www.federalregister.gov/api/v1/documents/2019-26434?publication_date=2019-12-09,https://www.federalregister.gov/documents/full_text/xml/2019/12/09/2019-26434.xml
11/27/2019,"Tennessee Valley Authority, Knoxville, TN",https://www.federalregister.gov/documents/2019/11/27/2019-25731/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.federalregister.gov/api/v1/documents/2019-25731?publication_date=2019-11-27,https://www.federalregister.gov/documents/full_text/xml/2019/11/27/2019-25731.xml
11/27/2019,"Tennessee Valley Authority, Knoxville, TN ",https://www.federalregister.gov/documents/2019/11/27/2019-25730/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.federalregister.gov/api/v1/documents/2019-25730?publication_date=2019-11-27,https://www.federalregister.gov/documents/full_text/xml/2019/11/27/2019-25730.xml
11/27/2019,"University of California, Santa Cruz, Santa Cruz, CA ",https://www.federalregister.gov/documents/2019/11/27/2019-25734/notice-of-inventory-completion-university-of-california-santa-cruz-santa-cruz-ca,https://www.federalregister.gov/api/v1/documents/2019-25734?publication_date=2019-11-27,https://www.federalregister.gov/documents/full_text/xml/2019/11/27/2019-25734.xml
11/27/2019,"Los Angeles Pierce College, Woodland Hills, CA ",https://www.federalregister.gov/documents/2019/11/27/2019-25729/notice-of-inventory-completion-los-angeles-pierce-college-woodland-hills-ca,https://www.federalregister.gov/api/v1/documents/2019-25729?publication_date=2019-11-27,https://www.federalregister.gov/documents/full_text/xml/2019/11/27/2019-25729.xml
11/27/2019,"Pima County Office of the Medical Examiner, Tucson, AZ ",https://www.federalregister.gov/documents/2019/11/27/2019-25732/notice-of-inventory-completion-pima-county-office-of-the-medical-examiner-tucson-az,https://www.federalregister.gov/api/v1/documents/2019-25732?publication_date=2019-11-27,https://www.federalregister.gov/documents/full_text/xml/2019/11/27/2019-25732.xml
11/27/2019,"The University of Oregon Museum of Natural and Cultural History, Eugene, OR",https://www.federalregister.gov/documents/2019/11/27/2019-25727/notice-of-inventory-completion-the-university-of-oregon-museum-of-natural-and-cultural-history,https://www.federalregister.gov/api/v1/documents/2019-25727?publication_date=2019-11-27,https://www.federalregister.gov/documents/full_text/xml/2019/11/27/2019-25727.xml
11/27/2019,"The Wistar Institute, Philadelphia, PA, and the University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, PA ",https://www.federalregister.gov/documents/2019/11/27/2019-25733/notice-of-inventory-completion-the-wistar-institute-philadelphia-pa-and-the-university-of,https://www.federalregister.gov/api/v1/documents/2019-25733?publication_date=2019-11-27,https://www.federalregister.gov/documents/full_text/xml/2019/11/27/2019-25733.xml
11/8/2019,"U.S. Department of the Interior, Bureau of Indian Affairs, Washington, DC; Correction",https://www.federalregister.gov/documents/2019/11/08/2019-24399/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-indian-affairs-washington-dc,https://www.federalregister.gov/api/v1/documents/2019-24399?publication_date=2019-11-08,https://www.federalregister.gov/documents/full_text/xml/2019/11/08/2019-24399.xml
11/8/2019,"Robert S. Peabody Institute of Archaeology, Andover, MA; Correction; Correction",https://www.federalregister.gov/documents/2019/11/08/2019-24400/notice-of-inventory-completion-robert-s-peabody-institute-of-archaeology-andover-ma-correction,https://www.federalregister.gov/api/v1/documents/2019-24400?publication_date=2019-11-08,https://www.federalregister.gov/documents/full_text/xml/2019/11/08/2019-24400.xml
11/8/2019,"Arkansas Archeological Survey, Fayetteville, AR; Correction",https://www.federalregister.gov/documents/2019/11/08/2019-24397/notice-of-inventory-completion-arkansas-archeological-survey-fayetteville-ar-correction,https://www.federalregister.gov/api/v1/documents/2019-24397?publication_date=2019-11-08,https://www.federalregister.gov/documents/full_text/xml/2019/11/08/2019-24397.xml
11/8/2019,"Arkansas Archeological Survey, Fayetteville, AR; Correction",https://www.federalregister.gov/documents/2019/11/08/2019-24396/notice-of-inventory-completion-arkansas-archeological-survey-fayetteville-ar-correction,https://www.federalregister.gov/api/v1/documents/2019-24396?publication_date=2019-11-08,https://www.federalregister.gov/documents/full_text/xml/2019/11/08/2019-24396.xml
11/8/2019,"Arkansas Archeological Survey, Fayetteville, AR; Correction",https://www.federalregister.gov/documents/2019/11/08/2019-24398/notice-of-inventory-completion-arkansas-archeological-survey-fayetteville-ar-correction,https://www.federalregister.gov/api/v1/documents/2019-24398?publication_date=2019-11-08,https://www.federalregister.gov/documents/full_text/xml/2019/11/08/2019-24398.xml
11/8/2019,"Tennessee Valley Authority, Knoxville, TN",https://www.federalregister.gov/documents/2019/11/08/2019-24401/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.federalregister.gov/api/v1/documents/2019-24401?publication_date=2019-11-08,https://www.federalregister.gov/documents/full_text/xml/2019/11/08/2019-24401.xml
11/8/2019,"Department of Anthropology, San Jose State University, San Jose, CA",https://www.federalregister.gov/documents/2019/11/08/2019-24394/notice-of-inventory-completion-department-of-anthropology-san-jose-state-university-san-jose-ca,https://www.federalregister.gov/api/v1/documents/2019-24394?publication_date=2019-11-08,https://www.federalregister.gov/documents/full_text/xml/2019/11/08/2019-24394.xml
11/8/2019,"South Dakota State Historical Society, Archaeological Research Center, Rapid City, SD",https://www.federalregister.gov/documents/2019/11/08/2019-24395/notice-of-inventory-completion-south-dakota-state-historical-society-archaeological-research-center,https://www.federalregister.gov/api/v1/documents/2019-24395?publication_date=2019-11-08,https://www.federalregister.gov/documents/full_text/xml/2019/11/08/2019-24395.xml
11/8/2019,"University of Tennessee, Department of Anthropology, Knoxville, TN, and U.S. Army Corps of Engineers, Omaha District, Omaha, NE",https://www.federalregister.gov/documents/2019/11/08/2019-24407/notice-of-inventory-completion-university-of-tennessee-department-of-anthropology-knoxville-tn-and,https://www.federalregister.gov/api/v1/documents/2019-24407?publication_date=2019-11-08,https://www.federalregister.gov/documents/full_text/xml/2019/11/08/2019-24407.xml
10/23/2019,"U.S. Department of the Interior, National Park Service, Wupatki National Monument, Flagstaff, AZ ",https://www.federalregister.gov/documents/2019/10/23/2019-23078/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-wupatki-national,https://www.federalregister.gov/api/v1/documents/2019-23078?publication_date=2019-10-23,https://www.federalregister.gov/documents/full_text/xml/2019/10/23/2019-23078.xml
10/10/2019,"Cochise College, Douglas, AZ ",https://www.federalregister.gov/documents/2019/10/10/2019-22167/notice-of-inventory-completion-cochise-college-douglas-az,https://www.federalregister.gov/api/v1/documents/2019-22167?publication_date=2019-10-10,https://www.federalregister.gov/documents/full_text/xml/2019/10/10/2019-22167.xml
10/10/2019,"Carnegie Museum of Natural History, Pittsburgh, PA ",https://www.federalregister.gov/documents/2019/10/10/2019-22168/notice-of-inventory-completion-carnegie-museum-of-natural-history-pittsburgh-pa,https://www.federalregister.gov/api/v1/documents/2019-22168?publication_date=2019-10-10,https://www.federalregister.gov/documents/full_text/xml/2019/10/10/2019-22168.xml
10/10/2019,"Arkansas Archeological Survey, Fayetteville, AR ",https://www.federalregister.gov/documents/2019/10/10/2019-22169/notice-of-inventory-completion-arkansas-archeological-survey-fayetteville-ar,https://www.federalregister.gov/api/v1/documents/2019-22169?publication_date=2019-10-10,https://www.federalregister.gov/documents/full_text/xml/2019/10/10/2019-22169.xml
10/9/2019,"Georgia Department of Natural Resources, Historic Preservation Division, Atlanta, GA ",https://www.federalregister.gov/documents/2019/10/09/2019-22051/notice-of-inventory-completion-georgia-department-of-natural-resources-historic-preservation,https://www.federalregister.gov/api/v1/documents/2019-22051?publication_date=2019-10-09,https://www.federalregister.gov/documents/full_text/xml/2019/10/09/2019-22051.xml
10/9/2019,"U.S. Department of Agriculture, Forest Service, Lassen National Forest, Susanville, CA ",https://www.federalregister.gov/documents/2019/10/09/2019-22047/notice-of-inventory-completion-us-department-of-agriculture-forest-service-lassen-national-forest,https://www.federalregister.gov/api/v1/documents/2019-22047?publication_date=2019-10-09,https://www.federalregister.gov/documents/full_text/xml/2019/10/09/2019-22047.xml
9/24/2019,"U.S. Army Corps of Engineers, Omaha District, Omaha, NE, and South Dakota State Archaeological Research Center, Rapid City, SD",https://www.federalregister.gov/documents/2019/09/24/2019-20616/notice-of-inventory-completion-us-army-corps-of-engineers-omaha-district-omaha-ne-and-south-dakota,https://www.federalregister.gov/api/v1/documents/2019-20616?publication_date=2019-09-24,https://www.federalregister.gov/documents/full_text/xml/2019/09/24/2019-20616.xml
9/24/2019,"University of Michigan, Ann Arbor, MI",https://www.federalregister.gov/documents/2019/09/24/2019-20617/notice-of-inventory-completion-university-of-michigan-ann-arbor-mi,https://www.federalregister.gov/api/v1/documents/2019-20617?publication_date=2019-09-24,https://www.federalregister.gov/documents/full_text/xml/2019/09/24/2019-20617.xml
9/24/2019,"University of Michigan, Ann Arbor, MI",https://www.federalregister.gov/documents/2019/09/24/2019-20618/notice-of-inventory-completion-university-of-michigan-ann-arbor-mi,https://www.federalregister.gov/api/v1/documents/2019-20618?publication_date=2019-09-24,https://www.federalregister.gov/documents/full_text/xml/2019/09/24/2019-20618.xml
9/3/2019,"The Florida Department of State/Division of Historical Resources, Tallahassee, FL; Correction",https://www.federalregister.gov/documents/2019/09/03/2019-18860/notice-of-inventory-completion-the-florida-department-of-statedivision-of-historical-resources,https://www.federalregister.gov/api/v1/documents/2019-18860?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18860.xml
9/3/2019,"Historic Westville, Inc., Columbus, GA; Correction",https://www.federalregister.gov/documents/2019/09/03/2019-18859/notice-of-inventory-completion-historic-westville-inc-columbus-ga-correction,https://www.federalregister.gov/api/v1/documents/2019-18859?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18859.xml
9/3/2019,"Texas Archeological Research Laboratory, University of Texas at Austin, Austin, TX",https://www.federalregister.gov/documents/2019/09/03/2019-18863/notice-of-inventory-completion-texas-archeological-research-laboratory-university-of-texas-at-austin,https://www.federalregister.gov/api/v1/documents/2019-18863?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18863.xml
9/3/2019,"Robert S. Peabody Institute of Archaeology, Andover, MA",https://www.federalregister.gov/documents/2019/09/03/2019-18861/notice-of-inventory-completion-robert-s-peabody-institute-of-archaeology-andover-ma,https://www.federalregister.gov/api/v1/documents/2019-18861?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18861.xml
9/3/2019,"Department of Anthropology, University of Alaska Anchorage, Anchorage, AK",https://www.federalregister.gov/documents/2019/09/03/2019-18854/notice-of-inventory-completion-department-of-anthropology-university-of-alaska-anchorage-anchorage,https://www.federalregister.gov/api/v1/documents/2019-18854?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18854.xml
9/3/2019,"U.S. Department of Agriculture, Forest Service, Kootenai National Forest, Lincoln County, MT",https://www.federalregister.gov/documents/2019/09/03/2019-18862/notice-of-inventory-completion-us-department-of-agriculture-forest-service-kootenai-national-forest,https://www.federalregister.gov/api/v1/documents/2019-18862?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18862.xml
9/3/2019,"Department of Anthropology, University of Alaska Anchorage, Anchorage, AK",https://www.federalregister.gov/documents/2019/09/03/2019-18855/notice-of-inventory-completion-department-of-anthropology-university-of-alaska-anchorage-anchorage,https://www.federalregister.gov/api/v1/documents/2019-18855?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18855.xml
9/3/2019,"Department of Anthropology, University of Alaska Anchorage, Anchorage, AK",https://www.federalregister.gov/documents/2019/09/03/2019-18856/notice-of-inventory-completion-department-of-anthropology-university-of-alaska-anchorage-anchorage,https://www.federalregister.gov/api/v1/documents/2019-18856?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18856.xml
9/3/2019,"U.S. Department of the Interior, National Park Service, Russell Cave National Monument, Bridgeport, AL",https://www.federalregister.gov/documents/2019/09/03/2019-18867/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-russell-cave,https://www.federalregister.gov/api/v1/documents/2019-18867?publication_date=2019-09-03,https://www.federalregister.gov/documents/full_text/xml/2019/09/03/2019-18867.xml
