State,Museum or Federal Agency,MNI,AFO,CA,CUI,Geographic Area,County
MA,Robert S. Peabody Institute of Archaeology,1,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,12,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",2,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",2,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",14,158,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",2,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Baldwin
FL,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,N/A,1,Alabama,Baldwin
PA,Univ. of Pennsylvania Museum of Archaeology and Anthropology,2,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",4,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",3,0,N/A,1,Alabama,Baldwin
AL,"Univ. of South Alabama, Center for Archaeological Studies",3,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Baldwin
AL,Univ. of Alabama Museums,2,1,N/A,1,Alabama,Baldwin
GA,"U.S. Dept. of Interior, FWS, Eufaula National Wildlife Refuge",1,0,1,N/A,Alabama,Barbour
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Bibb
AL,Univ. of Alabama Museums,7,4,N/A,1,Alabama,Bibb
AL,Univ. of Alabama Museums,7,0,N/A,1,Alabama,Calhoun
AL,Jacksonville State Univ.,3,0,N/A,1,Alabama,Calhoun
AL,Jacksonville State Univ.,2,0,N/A,1,Alabama,Calhoun
AL,Jacksonville State Univ.,5,0,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,2,72,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,6,30,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,1,89,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,7,4,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,3,0,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,12,0,N/A,1,Alabama,Calhoun
AL,Anniston Museum of Natural History,6,0,N/A,1,Alabama,Calhoun
AL,Univ. of Alabama Museums,4,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,12,4,N/A,1,Alabama,Cherokee
AL,Jacksonville State Univ.,2,0,N/A,1,Alabama,Cherokee
AL,Jacksonville State Univ.,3,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,4,2,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,1,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,6,9,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,5,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Cherokee
AL,Univ. of Alabama Museums,7,5,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,23,1,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,11,0,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Clarke
AL,"Univ. of South Alabama, Center for Archaeological Studies",1,0,N/A,1,Alabama,Clarke
AL,Univ. of Alabama Museums,2,0,N/A,1,Alabama,Clarke and Mobile
TN,Tennessee Valley Authority,1,1,1,N/A,Alabama,Colbert
TN,"Univ. of Memphis, C.H. Nash Memorial Museum/Chucalissa Archaeological Museum",2,4,N/A,1,Alabama,Colbert
AL,Univ. of Alabama Museums,1,0,N/A,1,Alabama,Covington
