Publication Date,Title,Link
12/20/2019,"San Diego Museum of Man, San Diego, CA",https://www.federalregister.gov/documents/2019/12/20/2019-27489/notice-of-intent-to-repatriate-cultural-items-san-diego-museum-of-man-san-diego-ca
11/27/2019,"Thomas Burke Memorial Washington State Museum, University of Washington, Seattle, WA ",https://www.federalregister.gov/documents/2019/11/27/2019-25728/notice-of-intent-to-repatriate-cultural-items-thomas-burke-memorial-washington-state-museum
11/8/2019,"University of Tennessee, Department of Anthropology, Knoxville, TN, and U.S. Army Corps of Engineers, Omaha District, Omaha, NE",https://www.federalregister.gov/documents/2019/11/08/2019-24409/notice-of-intent-to-repatriate-cultural-items-university-of-tennessee-department-of-anthropology
10/9/2019,"Sam Noble Oklahoma Museum of Natural History, Norman, OK",https://www.federalregister.gov/documents/2019/10/09/2019-22045/notice-of-intent-to-repatriate-cultural-items-sam-noble-oklahoma-museum-of-natural-history-norman-ok
10/9/2019,"Colgate University, Longyear Museum of Anthropology, Hamilton, NY",https://www.federalregister.gov/documents/2019/10/09/2019-22049/notice-of-intent-to-repatriate-cultural-items-colgate-university-longyear-museum-of-anthropology
10/9/2019,"Brooklyn Museum, Brooklyn, NY",https://www.federalregister.gov/documents/2019/10/09/2019-22050/notice-of-intent-to-repatriate-cultural-items-brooklyn-museum-brooklyn-ny
9/3/2019,"The Field Museum, Chicago, IL",https://www.federalregister.gov/documents/2019/09/03/2019-18866/notice-of-intent-to-repatriate-cultural-items-the-field-museum-chicago-il
9/3/2019,"The Field Museum, Chicago, IL",https://www.federalregister.gov/documents/2019/09/03/2019-18864/notice-of-intent-to-repatriate-cultural-items-the-field-museum-chicago-il
8/5/2019,"Arizona State Museum, University of Arizona, Tucson, AZ; Correction",https://www.federalregister.gov/documents/2019/08/05/2019-16689/notice-of-intent-to-repatriate-cultural-items-arizona-state-museum-university-of-arizona-tucson-az
8/5/2019,"Nebraska State Historical Society, DBA History Nebraska, Lincoln, NE",https://www.federalregister.gov/documents/2019/08/05/2019-16682/notice-of-intent-to-repatriate-cultural-items-nebraska-state-historical-society-dba-history-nebraska
8/5/2019,"New York State Museum, Albany, NY",https://www.federalregister.gov/documents/2019/08/05/2019-16678/notice-of-intent-to-repatriate-cultural-items-new-york-state-museum-albany-ny
7/19/2019,"Buffalo Bill Center of the West, Plains Indian Museum, Cody, WY",https://www.federalregister.gov/documents/2019/07/19/2019-15436/notice-of-intent-to-repatriate-cultural-items-buffalo-bill-center-of-the-west-plains-indian-museum
6/3/2019,"University of San Diego, San Diego, CA",https://www.federalregister.gov/documents/2019/06/03/2019-11428/notice-of-intent-to-repatriate-cultural-items-university-of-san-diego-san-diego-ca
6/3/2019,"Eiteljorg Museum of American Indians and Western Art, Indianapolis, IN",https://www.federalregister.gov/documents/2019/06/03/2019-11429/notice-of-intent-to-repatriate-cultural-items-eiteljorg-museum-of-american-indians-and-western-art
5/15/2019,"Pueblo Grande Museum, Phoenix, AZ",https://www.federalregister.gov/documents/2019/05/15/2019-09995/notice-of-intent-to-repatriate-cultural-items-pueblo-grande-museum-phoenix-az
5/7/2019,"U.S. Department of the Interior, Bureau of Indian Affairs, Washington, DC, and Arizona State Museum, University of Arizona, Tucson, AZ",https://www.federalregister.gov/documents/2019/05/07/2019-09309/notice-of-intent-to-repatriate-cultural-items-us-department-of-the-interior-bureau-of-indian-affairs
5/7/2019,"U.S. Department of the Interior, Bureau of Indian Affairs, Washington, DC",https://www.federalregister.gov/documents/2019/05/07/2019-09306/notice-of-intent-to-repatriate-cultural-items-us-department-of-the-interior-bureau-of-indian-affairs
5/3/2019,"Autry Museum of the American West, Los Angeles, CA",https://www.federalregister.gov/documents/2019/05/03/2019-09036/notice-of-intent-to-repatriate-cultural-items-autry-museum-of-the-american-west-los-angeles-ca
4/29/2019,"Birmingham Museum of Art, Birmingham, AL",https://www.federalregister.gov/documents/2019/04/29/2019-08592/notice-of-intent-to-repatriate-cultural-items-birmingham-museum-of-art-birmingham-al
