title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From the Little Bighorn Battlefield National Monument, MT in the Possession of the Little Bighorn Battlefield National Monument, National Park Service, Crow Agency, MT; Correction",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, National Park Service, Little Bighorn Battlefield National Monument has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on March 16, 1999. This notice corrects the cultural affiliation. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to Little Bighorn Battlefield National Monument. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2020-01356,https://www.federalregister.gov/documents/2020/01/28/2020-01356/notice-of-inventory-completion-for-native-american-human-remains-and-associated-funerary-objects,https://www.govinfo.gov/content/pkg/FR-2020-01-28/pdf/2020-01356.pdf,01/28/2020
"Notice of Inventory Completion: Robert S. Peabody Institute of Archaeology, Andover, MA; Correction; Correction",Notice,Interior Department; National Park Service,"The Robert S. Peabody Institute of Archaeology (formerly the Robert S. Peabody Museum of Archaeology) has corrected an inventory of associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on September 22, 2017 and amended in a Notice of Inventory Completion Correction published in the Federal Register on January 30, 2018. This notice further corrects the number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these associated funerary objects should submit a written request to the Robert S. Peabody Institute of Archaeology. If no additional requestors come forward, transfer of control of the associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-24400,https://www.federalregister.gov/documents/2019/11/08/2019-24400/notice-of-inventory-completion-robert-s-peabody-institute-of-archaeology-andover-ma-correction,https://www.govinfo.gov/content/pkg/FR-2019-11-08/pdf/2019-24400.pdf,11/08/2019
"Notice of Inventory Completion: U.S. Department of the Interior, Bureau of Indian Affairs, Washington, DC; Correction",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, Bureau of Indian Affairs has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on February 8, 2019. This notice corrects the number of associated funerary objects.", 2019-24399,https://www.federalregister.gov/documents/2019/11/08/2019-24399/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-indian-affairs-washington-dc,https://www.govinfo.gov/content/pkg/FR-2019-11-08/pdf/2019-24399.pdf,11/08/2019
"Notice of Inventory Completion: Arkansas Archeological Survey, Fayetteville, AR; Correction",Notice,Interior Department; National Park Service,"The Arkansas Archeological Survey has corrected an inventory of human remains published in a Notice of Inventory Completion in the Federal Register on February 24, 2017. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the Arkansas Archeological Survey. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-24397,https://www.federalregister.gov/documents/2019/11/08/2019-24397/notice-of-inventory-completion-arkansas-archeological-survey-fayetteville-ar-correction,https://www.govinfo.gov/content/pkg/FR-2019-11-08/pdf/2019-24397.pdf,11/08/2019
"Notice of Inventory Completion: Arkansas Archeological Survey, Fayetteville, AR; Correction",Notice,Interior Department; National Park Service,"The Arkansas Archeological Survey has corrected an inventory of human remains published in a Notice of Inventory Completion in the Federal Register on December 22, 2014. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the Arkansas Archeological Survey. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-24396,https://www.federalregister.gov/documents/2019/11/08/2019-24396/notice-of-inventory-completion-arkansas-archeological-survey-fayetteville-ar-correction,https://www.govinfo.gov/content/pkg/FR-2019-11-08/pdf/2019-24396.pdf,11/08/2019
"Notice of Inventory Completion: Arkansas Archeological Survey, Fayetteville, AR; Correction",Notice,Interior Department; National Park Service,"The Arkansas Archeological Survey has corrected an inventory of human remains published in a Notice of Inventory Completion in the Federal Register on February 24, 2017. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the Arkansas Archeological Survey. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-24398,https://www.federalregister.gov/documents/2019/11/08/2019-24398/notice-of-inventory-completion-arkansas-archeological-survey-fayetteville-ar-correction,https://www.govinfo.gov/content/pkg/FR-2019-11-08/pdf/2019-24398.pdf,11/08/2019
"Notice of Inventory Completion: The Florida Department of State/Division of Historical Resources, Tallahassee, FL; Correction",Notice,Interior Department; National Park Service,"The Florida Department of State, Division of Historical Resources has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on March 7, 2017. This notice corrects the number of associated funerary objects and affiliation. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary object should submit a written request to the Florida Department of State, Division of Historical Resources. If no additional requestors come forward, transfer of control of the human remains and associated funerary object to the lineal descendants, Indian tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-18860,https://www.federalregister.gov/documents/2019/09/03/2019-18860/notice-of-inventory-completion-the-florida-department-of-statedivision-of-historical-resources,https://www.govinfo.gov/content/pkg/FR-2019-09-03/pdf/2019-18860.pdf,09/03/2019
"Notice of Inventory Completion: Historic Westville, Inc., Columbus, GA; Correction",Notice,Interior Department; National Park Service,"Historic Westville, Inc. has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on November 13, 2018. This notice corrects the number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Historic Westville, Inc. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-18859,https://www.federalregister.gov/documents/2019/09/03/2019-18859/notice-of-inventory-completion-historic-westville-inc-columbus-ga-correction,https://www.govinfo.gov/content/pkg/FR-2019-09-03/pdf/2019-18859.pdf,09/03/2019
"Notice of Inventory Completion: Missouri Department of Natural Resources, Jefferson City, MO; Correction; Correction",Notice,Interior Department; National Park Service,"The Missouri Department of Natural Resources has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on September 22, 2017. This notice further corrects the cultural affiliation of the human remains and associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Missouri Department of Natural Resources. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-17554,https://www.federalregister.gov/documents/2019/08/15/2019-17554/notice-of-inventory-completion-missouri-department-of-natural-resources-jefferson-city-mo-correction,https://www.govinfo.gov/content/pkg/FR-2019-08-15/pdf/2019-17554.pdf,08/15/2019
"Notice of Inventory Completion: Arizona State Museum, University of Arizona, Tucson, AZ; Correction",Notice,Interior Department; National Park Service,"The Arizona State Museum, University of Arizona has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on September 10, 2014. This notice corrects the number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Arizona State Museum, University of Arizona. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-16688,https://www.federalregister.gov/documents/2019/08/05/2019-16688/notice-of-inventory-completion-arizona-state-museum-university-of-arizona-tucson-az-correction,https://www.govinfo.gov/content/pkg/FR-2019-08-05/pdf/2019-16688.pdf,08/05/2019
